Codes,New Code,Borough,Names,Hectares,Square Kilometres,Population density km
00BCGN,E05000509,Redbridge,Monkhams,307.5,3.1,3387.1
00BCGP,E05000510,Redbridge,Newbury,211.7,2.1,8047.6
00BCGQ,E05000511,Redbridge,Roding,234.4,2.3,5282.6
00BCGR,E05000512,Redbridge,Seven Kings,208.2,2.1,7285.7
00BCGS,E05000513,Redbridge,Snaresbrook,198.6,2,5975
00BCGT,E05000514,Redbridge,Valentines,150.2,1.5,9500
00BCGU,E05000515,Redbridge,Wanstead,519.8,5.2,2240.4
00BDFW,E05000516,Richmond upon Thames,Barnes,301,3,3450
00BDFX,E05000517,Richmond upon Thames,East Sheen,583.5,5.8,1793.1
00BDFY,E05000518,Richmond upon Thames,Fulwell and Hampton Hill,191.8,1.9,5342.1
00BDFZ,E05000519,Richmond upon Thames,"Ham, Petersham & Richmond Riverside",944.6,9.4,1101.1
00BDGA,E05000520,Richmond upon Thames,Hampton,687.7,6.9,1449.3
00BDGB,E05000521,Richmond upon Thames,Hampton North,195,1.9,4947.4
00BDGC,E05000522,Richmond upon Thames,Hampton Wick,274.6,2.7,3796.3
00BDGD,E05000523,Richmond upon Thames,Heathfield,191.2,1.9,5447.4
00BDGE,E05000524,Richmond upon Thames,Kew,357.5,3.6,3180.6
00BDGF,E05000525,Richmond upon Thames,Mortlake and Barnes Common,193.8,1.9,5763.2
00BDGG,E05000526,Richmond upon Thames,North Richmond,280,2.8,3803.6
00BDGH,E05000527,Richmond upon Thames,St. Margarets & North Twickenham,200.6,2,5600
00BDGJ,E05000528,Richmond upon Thames,South Richmond,269.2,2.7,4018.5
00BDGK,E05000529,Richmond upon Thames,South Twickenham,172.7,1.7,5911.8
00BDGL,E05000530,Richmond upon Thames,Teddington,429.6,4.3,2407
00BDGM,E05000531,Richmond upon Thames,Twickenham Riverside,196.2,2,5200
00BDGN,E05000532,Richmond upon Thames,West Twickenham,245.6,2.5,4220
00BDGP,E05000533,Richmond upon Thames,Whitton,162.3,1.6,6125
00BEGC,E05000534,Southwark,Brunswick Park,93.5,0.9,14666.7
00BEGD,E05000535,Southwark,Camberwell Green,97.5,1,15050
00BEGE,E05000536,Southwark,Cathedrals,176.3,1.8,8305.6
00BEGF,E05000537,Southwark,Chaucer,82.3,0.8,19000
00BEGG,E05000538,Southwark,College,323.4,3.2,3703.1
00BEGH,E05000539,Southwark,East Dulwich,101.9,1,12350
00BEGJ,E05000540,Southwark,East Walworth,114.4,1.1,10500
00BEGK,E05000541,Southwark,Faraday,87.7,0.9,14277.8
00BEGL,E05000542,Southwark,Grange,120.5,1.2,12833.3
00BEGM,E05000543,Southwark,Livesey,143.6,1.4,10107.1
00BEGN,E05000544,Southwark,Newington,83.2,0.8,17687.5
00BEGP,E05000545,Southwark,Nunhead,132.2,1.3,10500
00BEGQ,E05000546,Southwark,Peckham,87.2,0.9,16388.9
00BEGR,E05000547,Southwark,Peckham Rye,225.3,2.3,5891.3
00BEGS,E05000548,Southwark,Riverside,133.2,1.3,11076.9
00BEGT,E05000549,Southwark,Rotherhithe,149.2,1.5,9166.7
00BEGU,E05000550,Southwark,South Bermondsey,97.3,1,13800
00BEGW,E05000551,Southwark,South Camberwell,133.1,1.3,9730.8
00BEGX,E05000552,Southwark,Surrey Docks,190.1,1.9,7105.3
00BEGY,E05000553,Southwark,The Lane,139,1.4,11142.9
00BEGZ,E05000554,Southwark,Village,278.8,2.8,4446.4
00BFGC,E05000555,Sutton,Beddington North,498,5,2070
00BFGD,E05000556,Sutton,Beddington South,306.1,3.1,3451.6
00BFGE,E05000557,Sutton,Belmont,233.7,2.3,4391.3
00BFGF,E05000558,Sutton,Carshalton Central,202.7,2,5050
00BFGG,E05000559,Sutton,Carshalton South and Clockhouse,705.6,7.1,1373.2
00BFGH,E05000560,Sutton,Cheam,393.8,3.9,2653.8
00BFGJ,E05000561,Sutton,Nonsuch,190.6,1.9,5631.6
00BFGK,E05000562,Sutton,St. Helier,150,1.5,8000
00BFGL,E05000563,Sutton,Stonecot,198.1,2,5375
00BFGM,E05000564,Sutton,Sutton Central,131,1.3,8500
00BFGN,E05000565,Sutton,Sutton North,187.5,1.9,5473.7
00BFGP,E05000566,Sutton,Sutton South,127.2,1.3,7423.1
00BFGQ,E05000567,Sutton,Sutton West,177.9,1.8,5888.9
00BFGR,E05000568,Sutton,The Wrythe,148.2,1.5,6800
00BFGS,E05000569,Sutton,Wallington North,161.7,1.6,6687.5
00BFGT,E05000570,Sutton,Wallington South,171.9,1.7,6029.4
00BFGU,E05000571,Sutton,Wandle Valley,205.5,2.1,5571.4
00BFGW,E05000572,Sutton,Worcester Park,195.7,2,5875
00BGFW,E05000573,Tower Hamlets,Bethnal Green North,82.3,0.8,17250
00BGFX,E05000574,Tower Hamlets,Bethnal Green South,88.1,0.9,15833.3
00BGFY,E05000575,Tower Hamlets,Blackwall and Cubitt Town,296.7,3,6550
00BGFZ,E05000576,Tower Hamlets,Bow East,185.8,1.9,7842.1
00BGGA,E05000577,Tower Hamlets,Bow West,134.7,1.3,10038.5
00BGGB,E05000578,Tower Hamlets,Bromley-by-Bow,107.4,1.1,13272.7
00BGGC,E05000579,Tower Hamlets,East India and Lansbury,122.4,1.2,12458.3
00BGGD,E05000580,Tower Hamlets,Limehouse,114.2,1.1,14636.4
00BGGE,E05000581,Tower Hamlets,Mile End and Globe Town,90,0.9,16944.4
00BGGF,E05000582,Tower Hamlets,Mile End East,107,1.1,12227.3
00BGGG,E05000583,Tower Hamlets,Millwall,245.8,2.5,9320
00BGGH,E05000584,Tower Hamlets,St. Dunstan's and Stepney Green,101.8,1,16350
00BGGJ,E05000585,Tower Hamlets,St. Katherine's and Wapping,150.6,1.5,8366.7
00BGGK,E05000586,Tower Hamlets,Shadwell,96.3,1,15250
00BGGL,E05000587,Tower Hamlets,Spitalfields and Banglatown,63.8,0.6,17250
00BGGM,E05000588,Tower Hamlets,Weavers,77.9,0.8,16625
00BGGN,E05000589,Tower Hamlets,Whitechapel,91.8,0.9,16611.1
00BHFX,E05000590,Waltham Forest,Cann Hall,86,0.9,15444.4
00BHFY,E05000591,Waltham Forest,Cathall,105.7,1.1,11590.9
00BHFZ,E05000592,Waltham Forest,Chapel End,184.2,1.8,7861.1
00BHGA,E05000593,Waltham Forest,Chingford Green,372.8,3.7,2797.3
00BHGB,E05000594,Waltham Forest,Endlebury,195.9,2,5400
00BHGC,E05000595,Waltham Forest,Forest,198.5,2,6350
00BHGD,E05000596,Waltham Forest,Grove Green,89.8,0.9,16333.3
00BHGE,E05000597,Waltham Forest,Hale End and Highams Park,235,2.3,4956.5
00BHGF,E05000598,Waltham Forest,Hatch Lane,241.8,2.4,4645.8
00BHGG,E05000599,Waltham Forest,High Street,306.1,3.1,4580.6
00BHGH,E05000600,Waltham Forest,Higham Hill,322.2,3.2,4140.6
00BHGJ,E05000601,Waltham Forest,Hoe Street,109.7,1.1,12727.3
00BHGK,E05000602,Waltham Forest,Larkswood,206.9,2.1,5428.6
00BHGL,E05000603,Waltham Forest,Lea Bridge,264.5,2.6,6057.7
00BHGM,E05000604,Waltham Forest,Leyton,203.6,2,7125
00BHGN,E05000605,Waltham Forest,Leytonstone,131,1.3,9961.5
00BHGP,E05000606,Waltham Forest,Markhouse,145.4,1.5,9133.3
00BHGQ,E05000607,Waltham Forest,Valley,198.1,2,5750
00BHGR,E05000608,Waltham Forest,William Morris,99.9,1,13350
00BHGS,E05000609,Waltham Forest,Wood Street,184.5,1.8,7472.2
00BJFZ,E05000610,Wandsworth,Balham,120.8,1.2,12333.3
00BJGA,E05000611,Wandsworth,Bedford,180.4,1.8,8111.1
00BJGB,E05000612,Wandsworth,Earlsfield,141.1,1.4,11071.4
00BJGC,E05000613,Wandsworth,East Putney,160.9,1.6,9437.5
00BJGD,E05000614,Wandsworth,Fairfield,145.5,1.5,9766.7
00BJGE,E05000615,Wandsworth,Furzedown,141.3,1.4,11071.4
00BJGF,E05000616,Wandsworth,Graveney,100.8,1,15250
00BJGG,E05000617,Wandsworth,Latchmere,108.5,1.1,14000
00BJGH,E05000618,Wandsworth,Nightingale,123.1,1.2,12291.7
00BJGJ,E05000619,Wandsworth,Northcote,167.9,1.7,8823.5
00BJGK,E05000620,Wandsworth,Queenstown,320.8,3.2,5109.4
00BJGL,E05000621,Wandsworth,Roehampton,442.4,4.4,3659.1
00BJGM,E05000622,Wandsworth,St. Mary's Park,139.6,1.4,11857.1
00BJGN,E05000623,Wandsworth,Shaftesbury,94.8,0.9,15777.8
00BJGP,E05000624,Wandsworth,Southfields,152.2,1.5,10866.7
00BJGQ,E05000625,Wandsworth,Thamesfield,192.1,1.9,7842.1
00BJGR,E05000626,Wandsworth,Tooting,160.4,1.6,10156.3
00BJGS,E05000627,Wandsworth,Wandsworth Common,276,2.8,5464.3
00BJGT,E05000628,Wandsworth,West Hill,168.8,1.7,9676.5
00BJGU,E05000629,Wandsworth,West Putney,184.6,1.8,8194.4
00BKGA,E05000630,Westminster,Abbey Road,109.5,1.1,10227.3
00BKGB,E05000631,Westminster,Bayswater,51.8,0.5,20600
00BKGC,E05000632,Westminster,Bryanston and Dorset Square,72.3,0.7,17142.9
00BKGD,E05000633,Westminster,Churchill,60.9,0.6,16083.3
00BKGE,E05000634,Westminster,Church Street,44.4,0.4,29375
00BKGF,E05000635,Westminster,Harrow Road,49.5,0.5,24100
00BKGG,E05000636,Westminster,Hyde Park,95.9,1,12450
00BKGH,E05000637,Westminster,Knightsbridge and Belgravia,359.3,3.6,2583.3
00BKGJ,E05000638,Westminster,Lancaster Gate,63,0.6,22000
00BKGK,E05000639,Westminster,Little Venice,63.6,0.6,17750
00BKGL,E05000640,Westminster,Maida Vale,64.6,0.6,17000
00BKGM,E05000641,Westminster,Marylebone High Street,100.1,1,10350
00BKGN,E05000642,Westminster,Queen's Park,58.3,0.6,20916.7
00BKGP,E05000643,Westminster,Regent's Park,225.6,2.3,5260.9
00BKGQ,E05000644,Westminster,St. James's,346.8,3.5,3085.7
00BKGR,E05000645,Westminster,Tachbrook,44.4,0.4,20375
00BKGS,E05000646,Westminster,Vincent Square,68.6,0.7,14285.7
00BKGT,E05000647,Westminster,Warwick,57.4,0.6,15666.7
00BKGU,E05000648,Westminster,Westbourne,67.4,0.7,18214.3
00BKGW,E05000649,Westminster,West End,199.6,2,5300
#1,E12000007,,London,159471.9,1594.7,5144.8
#2,E92000001,,England,13025966.7,130259.7,407.7
#3,K04000001,,England and Wales,15103990.4,151039.9,371.9
